iter	RMSE
0	49.99881937
1	49.18161743
2	48.27650228
3	47.40263673
4	46.78208869
5	46.10423307
6	45.47787395
7	44.66253702
8	44.15298053
9	43.64541552
10	42.94422078
11	42.3734315
12	41.96816739
13	41.49844056
14	41.17115244
15	40.88667687
16	40.40695152
17	40.14586447
18	39.785335
19	39.46404115
20	39.15456412
21	38.83365395
22	38.6257361
23	38.4835383
24	38.28921992
25	37.99098489
26	37.82044273
27	37.49040361
28	37.34058331
29	37.17723084
30	37.02246814
31	36.64142775
32	36.41271028
33	36.28734544
34	36.16219899
35	35.8679656
36	35.58790595
37	35.48036763
38	35.36873367
39	35.14504459
40	35.00418944
41	34.87851606
42	34.77746473
43	34.64011875
44	34.48731282
45	34.27422893
46	34.11611683
47	33.84848197
48	33.77807675
49	33.70514851
50	33.58138811
51	33.48814552
52	33.38163417
53	33.28403643
54	33.18769043
55	33.05991483
56	32.95615011
57	32.74856728
58	32.64950157
59	32.55363415
60	32.39308333
61	32.28809226
62	32.1289894
63	32.08235338
64	31.91526045
65	31.84347681
66	31.73585674
67	31.69754215
68	31.62355842
69	31.52692053
70	31.41266081
71	31.31352949
72	31.26158766
73	31.22273097
74	31.11149559
75	31.06907777
76	30.98122278
77	30.8589499
78	30.83043855
79	30.79956593
80	30.70802405
81	30.66793185
82	30.61166092
83	30.58529436
84	30.51968191
85	30.46199024
86	30.3981448
87	30.29373971
88	30.21383045
89	30.15676513
90	30.0971664
91	30.06204622
92	30.01142596
93	29.98389022
94	29.92876063
95	29.876582
96	29.78226144
97	29.76028142
98	29.70981078
99	29.68460161
100	29.59645823
101	29.52958058
102	29.45212811
103	29.41120478
104	29.35591728
105	29.32847331
106	29.22119154
107	29.11732408
108	29.08217961
109	29.03580006
110	29.01936509
111	28.91687826
112	28.830306
113	28.77611714
114	28.7456642
115	28.72647613
116	28.6549149
117	28.61466201
118	28.55887024
119	28.51989889
120	28.47597047
121	28.432307
122	28.38847212
123	28.36864574
124	28.35191961
125	28.25891548
126	28.23528886
127	28.20531167
128	28.14403454
129	28.05055875
130	27.9632815
131	27.89655095
132	27.86417168
133	27.82608734
134	27.76002647
135	27.70600865
136	27.64802152
137	27.60258351
138	27.58446955
139	27.51643802
140	27.48040783
141	27.42642848
142	27.36827449
143	27.28020189
144	27.26054781
145	27.2497953
146	27.18525572
147	27.09232176
148	27.06713473
149	27.02730488
150	26.97834233
151	26.92754737
152	26.90737378
153	26.88959008
154	26.8705754
155	26.82052249
156	26.79368043
157	26.76025979
158	26.70794402
159	26.68523032
160	26.66480153
161	26.63449192
162	26.57870562
163	26.51023466
164	26.46671498
165	26.43866682
166	26.40015699
167	26.33098286
168	26.30940362
169	26.23786642
170	26.19923339
171	26.17764077
172	26.15098283
173	26.0966709
174	26.05505084
175	25.97557859
176	25.92937969
177	25.88718091
178	25.84757
179	25.83137096
180	25.78026586
181	25.75573385
182	25.7137083
183	25.68591841
184	25.63967688
185	25.61250092
186	25.59332664
187	25.55203316
188	25.52946023
189	25.47885639
190	25.44982244
191	25.40507627
192	25.36416671
193	25.32965247
194	25.26437922
195	25.23539815
196	25.2231239
197	25.17914866
198	25.12998697
199	25.11641282
