season,strategy,paired_simulations,avg_rank_improvement_vs_adp,avg_points_delta_vs_adp,beat_adp_rank_rate,tied_adp_rank_rate,points_delta_p05,points_delta_p95
2023,target_intel,500,2.162,94.40936000000004,0.648,0.082,-140.1239999999998,304.6140000000001
2024,target_intel,500,2.094,82.12548000000001,0.636,0.078,-168.36300000000045,306.06499999999994
2025,target_intel,500,0.01,-12.49572,0.44,0.144,-191.95100000000005,175.5989999999999
2023,model_only,500,-1.498,-40.15848,0.328,0.092,-250.96099999999984,158.7249999999998
2024,model_only,500,3.102,152.4912,0.712,0.064,-66.86499999999995,367.3739999999998
2025,model_only,500,-0.774,-43.506920000000015,0.388,0.096,-235.0530000000002,138.55600000000015
