player_id,name,position,team,status,age,exp,dc_rank,room_order,l1_fantasy_points_half,proj_std,proj_half,proj_ppr,p10_half,p90_half,pos_rank_half
00-0036875,Rhamondre Stevenson,RB,NE,ACT,28.5,5.0,1.0,1.0,162.8,110.7,124.1,136.0,53.2,212.8,29
00-0030506,Travis Kelce,TE,KC,ACT,36.9,13.0,1.0,1.0,155.2,87.6,122.7,159.4,76.1,176.0,8
00-0031408,Mike Evans,WR,SF,ACT,33.0,12.0,1.0,1.0,69.8,101.6,122.7,153.4,55.8,192.2,33
00-0036555,Chuba Hubbard,RB,CAR,ACT,27.2,5.0,1.0,1.0,110.4,104.1,122.5,133.3,51.6,211.2,30
00-0040735,Luther Burden III,WR,CHI,ACT,22.7,1.0,2.0,2.0,104.4,94.1,122.4,145.7,55.5,191.9,34
00-0039065,Sam LaPorta,TE,DET,ACT,25.6,3.0,1.0,1.0,86.9,92.1,122.1,152.1,75.5,175.4,9
00-0031381,Davante Adams,WR,LA,ACT,33.7,12.0,2.0,2.0,192.9,97.7,121.9,164.1,55.0,191.4,35
00-0035261,Tony Pollard,RB,TEN,ACT,29.3,7.0,1.0,1.0,169.3,110.1,121.3,137.5,50.4,210.0,31
00-0040236,Kyle Monangai,RB,CHI,ACT,24.2,1.0,2.0,2.0,137.7,109.2,121.3,130.6,50.4,210.0,32
00-0038117,Wan'Dale Robinson,WR,TEN,ACT,25.7,4.0,2.0,2.0,171.9,87.2,119.6,149.4,52.7,189.1,36
00-0039849,Marvin Harrison Jr.,WR,ARI,ACT,24.1,2.0,1.0,1.0,107.3,99.5,119.3,140.9,52.4,188.8,37
00-0038544,Quentin Johnston,WR,LAC,ACT,25.0,3.0,2.0,2.0,145.7,96.1,118.9,141.8,52.0,188.4,38
00-0038606,Parker Washington,WR,JAX,ACT,24.4,3.0,2.0,2.0,155.7,94.0,118.2,139.9,51.3,187.7,39
00-0036919,Kenny Gainwell,RB,TB,ACT,27.5,5.0,2.0,2.0,184.8,101.7,116.9,131.6,46.0,205.6,33
00-0038559,Michael Wilson,WR,ARI,ACT,26.5,3.0,2.0,2.0,181.6,95.7,116.8,144.4,49.9,186.3,40
00-0040734,TreVeyon Henderson,RB,NE,INA,23.9,1.0,2.0,2.0,188.7,109.4,116.7,119.4,45.8,205.4,34
00-0040719,Bhayshul Tuten,RB,JAX,ACT,24.5,1.0,1.0,1.0,83.6,102.3,113.7,126.9,42.8,202.4,35
00-0037261,Khalil Shakir,WR,BUF,ACT,26.6,4.0,2.0,2.0,130.4,79.0,112.5,141.3,45.6,182.0,41
00-0035659,Terry McLaurin,WR,WAS,ACT,31.0,7.0,1.0,1.0,95.2,89.0,109.7,130.6,42.8,179.2,42
00-0036407,Jerry Jeudy,WR,CLE,ACT,27.4,6.0,1.0,1.0,95.7,83.1,109.3,127.8,42.4,178.8,43
00-0035719,Deebo Samuel Sr.,WR,SF,ACT,30.6,7.0,2.0,2.0,152.2,88.7,109.2,136.1,42.3,178.7,44
00-0038997,Josh Downs,WR,IND,ACT,25.1,3.0,2.0,2.0,109.4,80.2,109.1,131.2,42.2,178.6,45
00-0038041,Jake Ferguson,TE,DAL,ACT,27.6,4.0,1.0,1.0,147.1,78.8,108.0,130.5,61.4,161.3,10
