fmt,ranker,mae,rho_avg,rho_QB,rho_RB,rho_WR,rho_TE,hit12_avg,draft_value
half,ADP,52.975,0.446,0.357,0.584,0.505,0.339,7.536,0.782
half,Blend 50/50,51.544,0.46,0.332,0.603,0.541,0.365,7.571,0.778
half,Model,53.044,0.427,0.266,0.565,0.517,0.361,7.321,0.753
ppr,ADP,58.378,0.47,0.385,0.574,0.537,0.386,7.321,0.741
ppr,Blend 50/50,56.721,0.481,0.347,0.593,0.563,0.42,7.321,0.73
ppr,Model,58.718,0.451,0.281,0.563,0.541,0.42,7.0,0.714
std,ADP,46.265,0.466,0.392,0.61,0.503,0.359,7.321,0.669
std,Blend 50/50,45.277,0.49,0.377,0.616,0.535,0.434,7.357,0.682
std,Model,46.67,0.451,0.309,0.577,0.513,0.406,6.964,0.669
