pos,n,new_model,screen_feat_hgb,screen_catboost,screen_tabpfn
QB,79,42.039491328831154,53.726117610781124,54.83,56.95
RB,149,28.568476824989094,35.702075709356635,35.72,34.42
WR,234,19.51137410864408,22.882127264571448,22.35,22.39
TE,126,12.901709774979375,16.001546814565337,17.06,16.06
ALL,588,23.41683645403257,28.8003150518551,28.96821428571429,28.72525510204082
