strategy,starter_points,total_points,avg_rank,win_rate,top3_rate,field_avg,episodes
adp_guarded,1689.6333100000002,2507.91734,4.7895,0.183,0.442,1619.3438079999999,2000
adp,1669.50554,2459.1537080000003,5.249,0.1405,0.3725,1620.075385,2000
vbd,1604.2131000000002,2332.7733295,6.7515,0.043,0.193,1616.5371275,2000
catboost,1586.62653,2364.75502,7.217,0.031,0.1425,1614.4743325,2000
