strategy,starter_points,total_points,avg_rank,win_rate,top3_rate,field_avg,episodes
rl,1624.949,2470.8586666666665,3.941666666666667,0.24166666666666667,0.6,1530.4280333333334,120
adp,1603.1555,2428.1941666666667,4.7,0.16666666666666666,0.4083333333333333,1535.1896583333332,120
vbd,1530.9973333333332,2320.576333333333,6.441666666666666,0.025,0.275,1531.87115,120
catboost,1511.7133333333334,2329.7895,6.983333333333333,0.041666666666666664,0.16666666666666666,1529.17875,120
random,1360.2583333333334,2086.537,10.241666666666667,0.0,0.016666666666666666,1531.0594666666666,120
