position,model,mae,rmse,r2,n_players,n_seasons,catboost_mae,catboost_r2,mae_delta_vs_catboost,r2_delta_vs_catboost
QB,catboost,64.9655233024909,82.63292255666482,0.5704344647107693,134,2,64.9655233024909,0.5704344647107693,0.0,0.0
QB,puffer_bandit_rl,80.58173084508911,100.58135578463933,0.38000615103023894,134,2,64.9655233024909,0.5704344647107693,15.616207542598218,-0.19042831368053037
RB,catboost,38.04233295118377,53.54844392384571,0.6590370803820156,270,2,38.04233295118377,0.6590370803820156,0.0,0.0
RB,puffer_bandit_rl,43.38398612986555,59.631726399417445,0.5753055872768331,270,2,38.04233295118377,0.6590370803820156,5.341653178681781,-0.08373149310518246
WR,catboost,30.574481724969317,40.91994633115159,0.6647711864020976,430,2,30.574481724969317,0.6647711864020976,0.0,0.0
WR,puffer_bandit_rl,40.06139341304892,52.10077039466659,0.4526470323499991,430,2,30.574481724969317,0.6647711864020976,9.486911688079601,-0.21212415405209856
TE,catboost,22.255536867811614,31.568195732155946,0.6373602446301856,224,2,22.255536867811614,0.6373602446301856,0.0,0.0
TE,puffer_bandit_rl,29.329529341379803,43.27871161647941,0.31698003343873765,224,2,22.255536867811614,0.6373602446301856,7.07399247356819,-0.32038021119144794
