strategy,starter_points,total_points,avg_rank,win_rate,top3_rate,field_avg,episodes
adp,1673.0313333333334,2462.3247666666666,5.401666666666666,0.12666666666666668,0.35,1630.2420299999999,600
vbd,1622.1138666666666,2363.5866666666666,6.558333333333334,0.041666666666666664,0.22166666666666668,1628.1433433333334,600
catboost,1601.0707666666667,2396.1332333333335,7.041666666666667,0.043333333333333335,0.16833333333333333,1625.4656833333333,600
rl,1593.0028333333332,2350.4408,7.195,0.075,0.21666666666666667,1630.3610466666667,600
random,1465.1453333333332,2185.6335000000004,9.578333333333333,0.008333333333333333,0.04,1626.73928,600
